start_timestamp,end_timestamp,ASIN,purchased_marketplace,preferred_marketplace,device_family,device_serial_number,device_software_version,content_type,total_reading_millis,number_of_page_flips
2020-08-23T10:00:53Z,2020-08-23T10:05:02Z,B00TXHGWDU,,www.amazon.com,,AED26E441159442B9D1AF61BA9BCCE4A,1183055972,E-Book Sample,248600,151
2020-08-23T10:10:06Z,2020-08-23T10:10:11Z,B00KWG5VQU,,www.amazon.com,,AED26E441159442B9D1AF61BA9BCCE4A,1183055972,E-Book Sample,5100,3
2020-08-23T10:05:31Z,2020-08-23T10:05:53Z,B00TXHGWDU,,www.amazon.com,,AED26E441159442B9D1AF61BA9BCCE4A,1183055972,E-Book Sample,22200,7
2020-08-24T03:48:11Z,2020-08-24T03:56:37Z,B00KWG5VQU,,www.amazon.com,,1D969BCA31204FBA979F953C6A2076F1,1183055972,E-Book Sample,505900,40
2020-08-23T10:05:08Z,2020-08-23T10:05:11Z,B00TXHGWDU,,www.amazon.com,,AED26E441159442B9D1AF61BA9BCCE4A,1183055972,E-Book Sample,3100,3
2020-08-24T03:56:44Z,2020-08-24T03:56:47Z,B00KWG5VQU,,www.amazon.com,,1D969BCA31204FBA979F953C6A2076F1,1183055972,E-Book Sample,2900,1
2020-08-23T11:01:24Z,2020-08-23T11:02:01Z,B00KWG5VQU,,www.amazon.com,,1D969BCA31204FBA979F953C6A2076F1,1183055972,E-Book Sample,36900,22
2020-08-23T10:10:29Z,2020-08-23T10:12:06Z,B00KWG5VQU,,www.amazon.com,,AED26E441159442B9D1AF61BA9BCCE4A,1183055972,E-Book Sample,96600,101
2020-08-23T11:26:34Z,2020-08-23T11:26:35Z,B00KWG5VQU,,www.amazon.com,,AED26E441159442B9D1AF61BA9BCCE4A,1183055972,E-Book Sample,1700,2
2020-08-23T11:24:15Z,2020-08-23T11:26:04Z,B00KWG5VQU,,www.amazon.com,,AED26E441159442B9D1AF61BA9BCCE4A,1183055972,E-Book Sample,109500,14
2020-08-23T10:05:14Z,2020-08-23T10:05:26Z,B00TXHGWDU,,www.amazon.com,,AED26E441159442B9D1AF61BA9BCCE4A,1183055972,E-Book Sample,11700,1
2020-08-26T18:42:24Z,2020-08-26T18:42:36Z,B00KWG5VQU,,www.amazon.com,,AED26E441159442B9D1AF61BA9BCCE4A,1183055972,E-Book Sample,11700,7
2020-08-23T10:09:01Z,2020-08-23T10:09:19Z,B00KWG5VQU,,www.amazon.com,,AED26E441159442B9D1AF61BA9BCCE4A,1183055972,E-Book Sample,17700,5
2023-08-16T19:56:01Z,2023-08-16T20:09:26Z,B0BGQYFBCJ,www.amazon.com,www.amazon.com,Kindle Cloud Reader,A2CTZ977SKFQZY00A2QX1W086QLVZM,20000101,E-Book,805100,21
2023-08-16T23:40:56Z,2023-08-16T23:41:02Z,B0BGQYFBCJ,www.amazon.com,www.amazon.com,Kindle Cloud Reader,A2CTZ977SKFQZY00A2QX1W086QLVZM,20000101,E-Book,5700,1
2023-08-20T10:49:23Z,2023-08-20T10:49:26Z,B0BGQYFBCJ,www.amazon.com,www.amazon.com,Kindle Cloud Reader,A2CTZ977SKFQZY00A2QX1W086QLVZM,20000102,E-Book,2500,1
2023-08-16T20:09:53Z,2023-08-16T20:32:45Z,B0BGQYFBCJ,www.amazon.com,www.amazon.com,Kindle Cloud Reader,A2CTZ977SKFQZY00A2QX1W086QLVZM,20000101,E-Book,1371400,29
2024-12-03T10:15:28Z,2024-12-03T10:49:29Z,B0D6RMSDSY,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4289760037,E-Book,2040600,11
2024-12-23T04:58:06Z,2024-12-23T05:08:06Z,B0BMF2M8Z6,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4289760037,E-Book,599900,1
2025-02-23T23:24:26Z,2025-02-23T23:24:32Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4351960007,E-Book,5900,1
2025-05-09T04:02:12Z,2025-05-09T04:12:31Z,B002OSXNRI,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4417570025,E-Book,618900,16
2025-03-23T16:16:16Z,2025-03-23T16:16:21Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle for Mac,7B1077C69580528C8BC54A7DDC9FF141,1191415184,E-Book,5800,1
2025-01-30T15:27:42Z,2025-01-30T15:28:08Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle for Mac,7B1077C69580528C8BC54A7DDC9FF141,1191414794,E-Book,26100,8
2024-12-10T10:10:03Z,2024-12-10T10:24:09Z,B0D5JLH3RJ,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4289760037,E-Book,846200,12
2025-02-18T05:54:53Z,2025-02-18T06:02:46Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4351960007,E-Book,473600,1
2025-01-21T08:48:58Z,2025-01-21T08:50:19Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle for Mac,7B1077C69580528C8BC54A7DDC9FF141,1191414794,E-Book,80700,1
2025-01-13T09:00:02Z,2025-01-13T09:14:21Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4289760037,E-Book,859100,6
2024-12-09T10:51:00Z,2024-12-09T10:56:46Z,B0D5JLH3RJ,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4289760037,E-Book,346200,3
2025-03-22T23:07:45Z,2025-03-22T23:08:21Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4351960007,E-Book,35800,1
2025-03-23T19:27:05Z,2025-03-23T19:28:20Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4351960007,E-Book,75200,12
2024-12-11T14:30:12Z,2024-12-11T14:30:33Z,B0BMF2M8Z6,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4289760037,E-Book,20700,17
2025-03-23T12:32:32Z,2025-03-23T12:35:07Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle for Mac,7B1077C69580528C8BC54A7DDC9FF141,1191415184,E-Book,155400,3
2025-03-21T07:24:03Z,2025-03-21T07:24:05Z,226B133AC0FC463185E57561BF84791C,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4351960007,Personal Document,1500,1
2025-02-16T14:45:23Z,2025-02-16T14:46:27Z,B07FS25XTW,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4351960007,E-Book Sample,63600,1
2025-01-30T15:58:07Z,2025-01-30T15:58:08Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle for Mac,7B1077C69580528C8BC54A7DDC9FF141,1191414794,E-Book,800,1
2024-12-11T14:25:11Z,2024-12-11T14:25:26Z,B00MUFP1QG,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4289760037,E-Book,15600,4
2025-03-18T00:52:20Z,2025-03-18T01:44:25Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4351960007,E-Book,3125300,61
2025-02-25T15:31:11Z,2025-02-25T15:31:13Z,B08TWV5BMD,www.amazon.com,www.amazon.com,,0B671A09510D489380FB769AAF4CF99C,1191415306,E-Book,2400,1
2025-03-23T12:26:11Z,2025-03-23T12:26:28Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle for Mac,7B1077C69580528C8BC54A7DDC9FF141,1191415184,E-Book,17200,3
2025-01-30T16:44:12Z,2025-01-30T16:44:44Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle for Mac,7B1077C69580528C8BC54A7DDC9FF141,1191414794,E-Book,31700,2
2025-02-03T04:56:14Z,2025-02-03T04:58:06Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle for Mac,7B1077C69580528C8BC54A7DDC9FF141,1191414794,E-Book,112300,1
2025-03-23T15:20:34Z,2025-03-23T15:23:57Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle for Mac,7B1077C69580528C8BC54A7DDC9FF141,1191415184,E-Book,202800,1
2025-05-06T20:27:59Z,2025-05-06T20:28:02Z,73A796BDD6EF4375A531DBB4A9113875,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4417570025,Personal Document,3500,1
2025-03-19T14:47:18Z,2025-03-19T14:48:25Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle for Mac,7B1077C69580528C8BC54A7DDC9FF141,1191415184,E-Book,67200,23
2024-12-03T07:33:42Z,2024-12-03T07:37:52Z,B0D6RMSDSY,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4289760037,E-Book,249500,4
2025-05-06T12:15:26Z,2025-05-06T12:39:01Z,226B133AC0FC463185E57561BF84791C,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4417570025,Personal Document,1415600,1
2025-01-17T03:40:11Z,2025-01-17T03:40:13Z,B0BMF2M8Z6,www.amazon.com,www.amazon.com,,0B671A09510D489380FB769AAF4CF99C,1191414794,E-Book,2800,1
2025-02-21T05:16:21Z,2025-02-21T05:19:21Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4351960007,E-Book,180300,8
2024-12-12T10:29:29Z,2024-12-12T10:31:41Z,B00MUFP1QG,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4289760037,E-Book,131400,6
2025-02-24T04:50:10Z,2025-02-24T04:50:16Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4351960007,E-Book,5800,2
2025-01-30T16:57:44Z,2025-01-30T16:57:47Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle for Mac,7B1077C69580528C8BC54A7DDC9FF141,1191414794,E-Book,2400,1
2025-02-18T05:21:37Z,2025-02-18T05:22:20Z,B08TWV5BMD,www.amazon.com,www.amazon.com,,0B671A09510D489380FB769AAF4CF99C,1191414928,E-Book,42700,3
2025-02-25T10:07:43Z,2025-02-25T10:24:09Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4351960007,E-Book,985600,7
2025-02-02T05:31:08Z,2025-02-02T05:31:13Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle for Mac,7B1077C69580528C8BC54A7DDC9FF141,1191414794,E-Book,5400,1
2025-03-23T12:27:58Z,2025-03-23T12:30:01Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle for Mac,7B1077C69580528C8BC54A7DDC9FF141,1191415184,E-Book,122900,5
2025-03-23T13:39:10Z,2025-03-23T13:39:10Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle for Mac,7B1077C69580528C8BC54A7DDC9FF141,1191415184,E-Book,500,1
2025-06-03T04:37:06Z,2025-06-03T04:37:17Z,EA9A179BAD4D4466B1E597489FFC099C,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4417570025,Personal Document,11300,10
2025-01-30T16:51:47Z,2025-01-30T16:52:03Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle for Mac,7B1077C69580528C8BC54A7DDC9FF141,1191414794,E-Book,15400,3
2024-12-13T18:11:38Z,2024-12-13T18:12:16Z,D9A72D3425174F1287CC791716BC074F,,www.amazon.com,,0B671A09510D489380FB769AAF4CF99C,1191414688,Personal Document,38300,4
Not Available,2025-05-06T15:07:11Z,CBDF7364B33944479B6871B680697E65,,www.amazon.com,Kindle E-reader,G093KM05425503M5,,Personal Document,,
2024-12-11T14:27:17Z,2024-12-11T14:27:25Z,B0D5JLH3RJ,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4289760037,E-Book,8000,3
2025-02-16T18:36:30Z,2025-02-16T18:36:31Z,B0BMF2M8Z6,www.amazon.com,www.amazon.com,,0B671A09510D489380FB769AAF4CF99C,1191414928,E-Book,1400,1
2025-03-06T08:27:57Z,2025-03-06T08:51:03Z,B08GJVLGGX,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4351960007,E-Book Sample,1386500,14
2025-03-23T17:17:32Z,2025-03-23T17:17:35Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle for Mac,7B1077C69580528C8BC54A7DDC9FF141,1191415184,E-Book,2700,1
2025-05-05T23:03:58Z,2025-05-05T23:04:01Z,605CB454B77F4D3B94AA0CABC0C1C315,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4417570025,Personal Document,3100,1
2025-02-20T21:22:12Z,2025-02-20T21:22:35Z,B09R8WZXJ8,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4351960007,E-Book,23100,4
2025-03-19T14:55:42Z,2025-03-19T14:55:44Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle for Mac,7B1077C69580528C8BC54A7DDC9FF141,1191415184,E-Book,2200,1
2025-03-19T14:03:04Z,2025-03-19T14:05:34Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4351960007,E-Book,150400,11
2024-11-28T04:24:19Z,2024-11-28T04:24:21Z,B0D6RMSDSY,www.amazon.com,www.amazon.com,,0B671A09510D489380FB769AAF4CF99C,1191414672,E-Book,2000,2
2024-11-27T19:43:11Z,2024-11-27T19:43:16Z,B0D6RMSDSY,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4289760037,E-Book,4900,3
2024-12-09T21:40:17Z,2024-12-09T21:57:26Z,B0CYBXTKJJ,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4289760037,E-Book Sample,1028900,15
2025-02-20T06:35:47Z,2025-02-20T06:35:49Z,B0B138BPQQ,www.amazon.com,www.amazon.com,,0B671A09510D489380FB769AAF4CF99C,1191414928,E-Book,2900,3
2025-02-16T11:19:55Z,2025-02-16T11:20:01Z,B07FS25XTW,,www.amazon.com,,0B671A09510D489380FB769AAF4CF99C,1191414928,E-Book Sample,6400,2
2024-12-23T16:24:07Z,2024-12-23T16:34:09Z,B0BMF2M8Z6,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4289760037,E-Book,602100,1
2025-05-08T00:41:24Z,2025-05-08T00:49:49Z,73A796BDD6EF4375A531DBB4A9113875,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4417570025,Personal Document,505800,53
2025-02-16T22:27:40Z,2025-02-16T23:42:13Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4351960007,E-Book,4473500,71
2025-03-23T15:52:20Z,2025-03-23T15:52:33Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle for Mac,7B1077C69580528C8BC54A7DDC9FF141,1191415184,E-Book,13500,3
2025-03-23T19:25:01Z,2025-03-23T19:25:07Z,E58F7517A2134C69ADDDC97B3B080D25,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4351960007,Personal Document,6400,1
2025-02-17T15:03:26Z,2025-02-17T15:04:02Z,B08TWV5BMD,www.amazon.com,www.amazon.com,,0B671A09510D489380FB769AAF4CF99C,1191414928,E-Book,36300,3
2025-03-18T04:44:17Z,2025-03-18T04:44:29Z,B08GJVLGGX,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4351960007,E-Book Sample,11900,1
2025-02-25T09:38:01Z,2025-02-25T10:04:48Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4351960007,E-Book,1607300,16
2025-02-19T05:18:44Z,2025-02-19T05:28:44Z,B08GJVLGGX,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4351960007,E-Book Sample,599700,1
2025-03-23T17:07:59Z,2025-03-23T17:08:02Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle for Mac,7B1077C69580528C8BC54A7DDC9FF141,1191415184,E-Book,2500,1
Not Available,2025-05-06T20:19:02Z,73A796BDD6EF4375A531DBB4A9113875,,www.amazon.com,Kindle E-reader,G093KM05425503M5,,Personal Document,,
2025-03-23T17:01:12Z,2025-03-23T17:01:31Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle for Mac,7B1077C69580528C8BC54A7DDC9FF141,1191415184,E-Book,18800,1
2025-01-30T15:28:59Z,2025-01-30T15:29:05Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle for Mac,7B1077C69580528C8BC54A7DDC9FF141,1191414794,E-Book,6700,1
Not Available,2025-02-20T06:16:17Z,364FE507FA904A949F41055F19069D97,,www.amazon.com,,0B671A09510D489380FB769AAF4CF99C,,Personal Document,,
2025-03-23T16:49:57Z,2025-03-23T16:49:58Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle for Mac,7B1077C69580528C8BC54A7DDC9FF141,1191415184,E-Book,1100,1
2025-02-02T18:01:16Z,2025-02-02T18:15:32Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle for Mac,7B1077C69580528C8BC54A7DDC9FF141,1191414794,E-Book,855600,1
2025-03-23T00:10:38Z,2025-03-23T00:11:23Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4351960007,E-Book,44700,3
2025-02-16T18:20:53Z,2025-02-16T18:26:36Z,B0BMF2M8Z6,www.amazon.com,www.amazon.com,,0B671A09510D489380FB769AAF4CF99C,1191414928,E-Book,342800,10
2025-03-19T11:26:06Z,2025-03-19T11:28:52Z,226B133AC0FC463185E57561BF84791C,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4351960007,Personal Document,166200,15
2025-02-20T07:27:03Z,2025-02-20T08:10:35Z,B0B138BPQQ,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4351960007,E-Book,2612000,26
2025-01-20T05:34:20Z,2025-01-20T05:34:35Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4351960007,E-Book,15100,1
2025-03-06T11:07:47Z,2025-03-06T11:07:53Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4351960007,E-Book,6400,1
2025-05-06T20:04:51Z,2025-05-06T20:05:56Z,73A796BDD6EF4375A531DBB4A9113875,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4417570025,Personal Document,64600,1
2024-12-11T08:36:41Z,2024-12-11T08:36:56Z,B0D5JLH3RJ,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4289760037,E-Book,15400,1
Not Available,2025-05-17T16:57:35Z,B0C5879F526A41B087D19B2C20C6E531,,www.amazon.com,Kindle E-reader,G093KM05425503M5,,Personal Document,,
2025-04-24T23:28:05Z,2025-04-24T23:28:27Z,B0D12WJTBY,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4417570025,E-Book Sample,22400,7
2025-03-02T21:19:04Z,2025-03-02T21:23:10Z,B08GJVLGGX,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4351960007,E-Book Sample,245600,11
2025-01-20T19:12:01Z,2025-01-20T19:36:34Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4351960007,E-Book,1472500,13
2025-01-30T15:37:25Z,2025-01-30T15:37:44Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle for Mac,7B1077C69580528C8BC54A7DDC9FF141,1191414794,E-Book,19300,2
2025-01-16T09:52:27Z,2025-01-16T10:12:35Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4351960007,E-Book,1207700,10
2025-01-20T19:10:47Z,2025-01-20T19:11:52Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4351960007,E-Book,65300,3
Not Available,2025-05-06T07:45:57Z,B0C5879F526A41B087D19B2C20C6E531,,www.amazon.com,Kindle E-reader,G093KM05425503M5,,Personal Document,,
2025-02-20T09:52:11Z,2025-02-20T10:15:04Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4351960007,E-Book,1372900,23
2025-01-30T16:38:31Z,2025-01-30T16:38:37Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle for Mac,7B1077C69580528C8BC54A7DDC9FF141,1191414794,E-Book,6400,3
2025-01-15T08:15:27Z,2025-01-15T08:15:35Z,B08TWV5BMD,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4289760037,E-Book,8300,2
2024-12-11T11:49:54Z,2024-12-11T11:59:54Z,B0D5JLH3RJ,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4289760037,E-Book,599800,1
